Rank 	 Country 	 Electricity - consumption(kWh) 	 Date of Information
1 	 World 	  16,330,000,000,000 	 2004 est.
2 	 United States 	   3,717,000,000,000 	 2004
3 	 European Union 	   2,822,000,000,000 	 2004 est.
4 	 China 	   2,494,000,000,000 	 2005
5 	 Japan 	    946,300,000,000 	 2005
6 	 Russia 	    940,000,000,000 	 2005
7 	 India 	    587,900,000,000 	 2004
8 	 Germany 	    524,600,000,000 	 2004
9 	 Canada 	    522,400,000,000 	 2004
10 	 France 	    482,400,000,000 	 2005
11 	 Brazil 	    415,900,000,000 	 2005
12 	 United Kingdom 	    345,200,000,000 	 2004
13 	 Korea, South 	    321,000,000,000 	 2004
14 	 Italy 	    303,800,000,000 	 2004
15 	 Spain 	    241,800,000,000 	 2004
16 	 Mexico 	    224,600,000,000 	 2004
17 	 Australia 	    209,500,000,000 	 2004
18 	 South Africa 	    207,000,000,000 	 2004
19 	 Ukraine 	    181,900,000,000 	 2006
20 	 Taiwan 	    175,300,000,000 	 2005
21 	 Iran 	    145,100,000,000 	 2004
22 	 Saudi Arabia 	    144,400,000,000 	 2004
23 	 Turkey 	    140,300,000,000 	 2005
24 	 Sweden 	    137,800,000,000 	 2004
25 	 Poland 	    124,100,000,000 	 2004
26 	 Thailand 	    116,200,000,000 	 2004
27 	 Norway 	    112,800,000,000 	 2004
28 	 Indonesia 	    107,700,000,000 	 2005 est.
29 	 Netherlands 	    102,400,000,000 	 2004
30 	 Argentina 	     90,930,000,000 	 2004
31 	 Venezuela 	     86,520,000,000 	 2004
32 	 Egypt 	     84,490,000,000 	 2004
33 	 Belgium 	     82,410,000,000 	 2004
34 	 Finland 	     80,790,000,000 	 2004
35 	 Pakistan 	     74,620,000,000 	 2004
36 	 Malaysia 	     72,710,000,000 	 2004
37 	 Austria 	     65,200,000,000 	 2005 est.
38 	 Kazakhstan 	     59,200,000,000 	 2006 est.
39 	 Czech Republic 	     58,800,000,000 	 2004
40 	 Switzerland 	     56,930,000,000 	 2004
41 	 Greece 	     53,500,000,000 	 2005 est.
42 	 Philippines 	     49,750,000,000 	 2005
43 	 Romania 	     49,620,000,000 	 2004
44 	 Chile 	     48,520,000,000 	 2006
45 	 Uzbekistan 	     47,000,000,000 	 2006 est.
46 	 United Arab Emirates 	     46,050,000,000 	 2004
47 	 Portugal 	     46,050,000,000 	 2004
48 	 Hong Kong 	     44,550,000,000 	 2005
49 	 Colombia 	     42,010,000,000 	 2004
50 	 Israel 	     41,380,000,000 	 2004
51 	 New Zealand 	     38,220,000,000 	 2004
52 	 Kuwait 	     37,540,000,000 	 2004
53 	 Bulgaria 	     37,400,000,000 	 2006
54 	 Vietnam 	     37,300,000,000 	 2004
55 	 Hungary 	     37,100,000,000 	 2004
56 	 Denmark 	     36,410,000,000 	 2006
57 	 Syria 	     34,000,000,000 	 2005 est.
58 	 Iraq 	     33,300,000,000 	 2005
59 	 Belarus 	     31,050,000,000 	 2004
60 	 Singapore 	     30,350,000,000 	 2004
61 	 Slovakia 	     28,570,000,000 	 2005
62 	 Algeria 	     27,400,000,000 	 2004 est.
63 	 Ireland 	     23,230,000,000 	 2004
64 	 Puerto Rico 	     22,450,000,000 	 2004
65 	 Peru 	     22,310,000,000 	 2004
66 	 Azerbaijan 	     20,570,000,000 	 2004
67 	 Korea, North 	     20,190,000,000 	 2004
68 	 Morocco 	     18,890,000,000 	 2004
69 	 Libya 	     18,080,000,000 	 2004
70 	 Nigeria 	     17,710,000,000 	 2004
71 	 Bangladesh 	     16,820,000,000 	 2004
72 	 Croatia 	     16,530,000,000 	 2004
73 	 Tajikistan 	     15,700,000,000 	 2004
74 	 Cuba 	     14,100,000,000 	 2004
75 	 Dominican Republic 	     13,960,000,000 	 2004
76 	 Slovenia 	     13,710,000,000 	 2006
77 	 Oman 	     13,330,000,000 	 2004
78 	 Ecuador 	     12,950,000,000 	 2004
79 	 Qatar 	     11,530,000,000 	 2004
80 	 Bosnia and Herzegovina 	     11,030,000,000 	 2004
81 	 Zimbabwe 	     11,000,000,000 	 2004
