Rank 	 Country 	 Population 	 Date of Information
1 	 World 	      6,602,224,175 	 July 2007 est.
2 	 China 	      1,321,851,888 	 July 2007 est.
3 	 India 	      1,129,866,154 	 July 2007 est.
4 	 European Union 	       460,827,146 	 July 2007 est.
5 	 United States 	       301,139,947 	 July 2007 est.
6 	 Indonesia 	       234,693,997 	 July 2007 est.
7 	 Brazil 	       190,010,647 	 July 2007 est.
8 	 Pakistan 	       164,741,924 	 July 2007 est.
9 	 Bangladesh 	       150,448,339 	 July 2007 est.
10 	 Russia 	       141,377,752 	 July 2007 est.
11 	 Nigeria 	       135,031,164 	 July 2007 est.
12 	 Japan 	       127,433,494 	 July 2007 est.
13 	 Mexico 	       108,700,891 	 July 2007 est.
14 	 Philippines 	        91,077,287 	 July 2007 est.
15 	 Vietnam 	        85,262,356 	 July 2007 est.
16 	 Germany 	        82,400,996 	 July 2007 est.
17 	 Egypt 	        80,335,036 	 July 2007 est.
18 	 Ethiopia 	        76,511,887 	 July 2007 est.
19 	 Turkey 	        71,158,647 	 July 2007 est.
20 	 Congo, Democratic Republic of the 	        65,751,512 	 July 2007 est.
21 	 Iran 	        65,397,521 	 July 2007 est.
22 	 Thailand 	        65,068,149 	 July 2007 est.
23 	 France 	        63,713,926 	 July 2007 est.
24 	 United Kingdom 	        60,776,238 	 July 2007 est.
25 	 Italy 	        58,147,733 	 July 2007 est.
26 	 Korea, South 	        49,044,790 	 July 2007 est.
27 	 Burma 	        47,373,958 	 July 2007 est.
28 	 Ukraine 	        46,299,862 	 July 2007 est.
29 	 Colombia 	        44,379,598 	 July 2007 est.
30 	 South Africa 	        43,997,828 	 July 2007 est.
31 	 Spain 	        40,448,191 	 July 2007 est.
32 	 Argentina 	        40,301,927 	 July 2007 est.
33 	 Tanzania 	        39,384,223 	 July 2007 est.
34 	 Sudan 	        39,379,358 	 July 2007 est.
35 	 Poland 	        38,518,241 	 July 2007 est.
36 	 Kenya 	        36,913,721 	 July 2007 est.
37 	 Morocco 	        33,757,175 	 July 2007 est.
38 	 Canada 	        33,390,141 	 July 2007 est.
39 	 Algeria 	        33,333,216 	 July 2007 est.
40 	 Afghanistan 	        31,889,923 	 July 2007 est.
41 	 Uganda 	        30,262,610 	 July 2007 est.
42 	 Nepal 	        28,901,790 	 July 2007 est.
43 	 Peru 	        28,674,757 	 July 2007 est.
44 	 Uzbekistan 	        27,780,059 	 July 2007 est.
45 	 Saudi Arabia 	        27,601,038 	 July 2007 est.
46 	 Iraq 	        27,499,638 	 July 2007 est.
47 	 Venezuela 	        26,023,528 	 July 2007 est.
48 	 Malaysia 	        24,821,286 	 July 2007 est.
49 	 Korea, North 	        23,301,725 	 July 2007 est.
50 	 Ghana 	        22,931,299 	 July 2007 est.
51 	 Taiwan 	        22,858,872 	 July 2007 est.
52 	 Romania 	        22,276,056 	 July 2007 est.
53 	 Yemen 	        22,230,531 	 July 2007 est.
54 	 Sri Lanka 	        20,926,315 	 July 2007 est.
55 	 Mozambique 	        20,905,585 	 July 2007 est.
56 	 Australia 	        20,434,176 	 July 2007 est.
57 	 Madagascar 	        19,448,815 	 July 2007 est.
58 	 Syria 	        19,314,747 	 July 2007 est.
