Rank 	 Country 	 Telephones - main lines in use 	 Date of Information
1 	 World 	      1,263,367,600 	 2005
2 	 China 	       350,433,000 	 2005
3 	 United States 	       268,000,000 	 2003
4 	 European Union 	       238,000,000 	 2005
5 	 Japan 	        58,780,000 	 2005
6 	 Germany 	        55,046,000 	 2005
7 	 India 	        49,750,000 	 2005
8 	 Brazil 	        42,382,000 	 2004
9 	 Russia 	        40,100,000 	 2005
10 	 France 	        38,433,000 	 2005
11 	 France 	        35,700,000 	 2005
12 	 United Kingdom 	        32,943,000 	 2005
13 	 Italy 	        25,049,000 	 2005
14 	 Korea, South 	        23,745,000 	 2005
15 	 Mexico 	        19,512,000 	 2005
16 	 Iran 	        18,986,000 	 2005
17 	 Turkey 	        18,978,000 	 2005
18 	 Spain 	        18,322,000 	 2005
19 	 Canada 	        18,276,000 	 2005
20 	 Vietnam 	        15,845,000 	 2005
21 	 Taiwan 	        13,615,000 	 2005
22 	 Indonesia 	        12,772,000 	 2005
23 	 Ukraine 	        12,142,000 	 2004
24 	 Poland 	        11,803,000 	 2005
25 	 Australia 	        11,460,000 	 2005
26 	 Egypt 	        10,396,000 	 2005
27 	 Argentina 	         8,800,000 	 2005
28 	 Colombia 	         7,678,800 	 2005
29 	 Netherlands 	         7,600,000 	 2005
30 	 Thailand 	         7,035,000 	 2005
31 	 Sweden 	         6,447,000 	 2004
32 	 Greece 	         6,303,000 	 2005
33 	 Pakistan 	         5,162,798 	 2006
34 	 Switzerland 	         5,123,000 	 2005
35 	 Belgium 	         4,801,000 	 2004
36 	 South Africa 	         4,729,000 	 2005
37 	 Saudi Arabia 	         4,500,000 	 2006
38 	 Romania 	         4,391,000 	 2005
39 	 Malaysia 	         4,366,000 	 2005
40 	 Portugal 	         4,234,000 	 2005
41 	 Hong Kong 	         3,795,000 	 2005
42 	 Austria 	         3,705,000 	 2005
43 	 Venezuela 	         3,605,000 	 2005
44 	 Philippines 	         3,438,000 	 2004
45 	 Chile 	         3,436,000 	 2005
46 	 Hungary 	         3,356,000 	 2005
47 	 Denmark 	         3,350,000 	 2005
48 	 Belarus 	         3,284,300 	 2005
49 	 Czech Republic 	         3,217,300 	 2005
50 	 Israel 	         2,936,000 	 2005
51 	 Syria 	         2,903,000 	 2005
52 	 Serbia 	         2,685,000 	 2004
53 	 Algeria 	         2,572,000 	 2005
54 	 Kazakhstan 	         2,500,000 	 2004
55 	 Bulgaria 	         2,483,000 	 2005
56 	 Peru 	         2,250,000 	 2005
57 	 Norway 	         2,129,000 	 2005
58 	 Finland 	         2,120,000 	 2005
59 	 Ireland 	         2,033,000 	 2005
60 	 Croatia 	         1,890,000 	 2005
61 	 Singapore 	         1,848,000 	 2005
62 	 New Zealand 	         1,800,000 	 2004
63 	 Uzbekistan 	         1,717,000 	 2003
64 	 Ecuador 	         1,701,000 	 2005
65 	 Iraq 	         1,547,000 	 2005
66 	 Sri Lanka 	         1,510,000 	 2006
67 	 Costa Rica 	         1,388,000 	 2005
68 	 Morocco 	         1,341,000 	 2005
69 	 Tunisia 	         1,258,000 	 2005
70 	 United Arab Emirates 	         1,237,000 	 2005
71 	 Nigeria 	         1,223,000 	 2005
72 	 Slovakia 	         1,197,000 	 2005
73 	 Guatemala 	         1,132,000 	 2004
74 	 Puerto Rico 	         1,112,000 	 2004
75 	 Azerbaijan 	         1,091,000 	 2005
76 	 Bangladesh 	         1,070,000 	 2005
77 	 Uruguay 	         1,000,000 	 2004
78 	 Lebanon 	          990,000 	 2005
79 	 Korea, North 	          980,000 	 2003
80 	 El Salvador 	          971,500 	 2005
81 	 Bosnia and Herzegovina 	          968,900 	 2005
82 	 Moldova 	          929,400 	 2005
83 	 Yemen 	          900,000 	 2006
84 	 Dominican Republic 	          894,500 	 2005
85 	 Cuba 	          849,900 	 2005
86 	 Slovenia 	          816,400 	 2005
87 	 Lithuania 	          801,100 	 2005
88 	 Libya 	          750,000 	 2003
89 	 Latvia 	          731,000 	 2005
90 	 Georgia 	          683,200 	 2004
91 	 Sudan 	          670,000 	 2005
92 	 Bolivia 	          646,300 	 2005
93 	 Jordan 	          628,200 	 2005
94 	 Ethiopia 	          610,300 	 2005
95 	 Armenia 	          600,000 	 2006
96 	 Macedonia 	          533,200 	 2005
97 	 Kuwait 	          510,300 	 2005
98 	 Turkmenistan 	          495,000 	 2006
99 	 Honduras 	          494,400 	 2005
100 	 Burma 	          476,200 	 2005
101 	 Nepal 	          448,600 	 2005
