Rank 	 Country 	 Internet users 	 Date of Information
1 	 World 	      1,018,057,389 	 2005
2 	 European Union 	       247,000,000 	 2006
3 	 United States 	       205,327,000 	 2005
4 	 China 	       123,000,000 	 2006
5 	 Japan 	        86,300,000 	 2005
6 	 India 	        60,000,000 	 2005
7 	 Germany 	        50,616,000 	 2006
8 	 United Kingdom 	        37,600,000 	 2005
9 	 Korea, South 	        33,900,000 	 2005
10 	 France 	        29,945,000 	 2006
11 	 France 	        29,521,000 	 2006
12 	 Italy 	        28,870,000 	 2005
13 	 Brazil 	        25,900,000 	 2005
14 	 Russia 	        23,700,000 	 2005
15 	 Canada 	        21,900,000 	 2005
16 	 Spain 	        19,205,000 	 2006
17 	 Mexico 	        18,622,000 	 2005
18 	 Indonesia 	        16,000,000 	 2005
19 	 Turkey 	        16,000,000 	 2005
20 	 Australia 	        14,664,000 	 2006
21 	 Taiwan 	        13,210,000 	 2005
22 	 Vietnam 	        13,100,000 	 2006
23 	 Malaysia 	        11,016,000 	 2005
24 	 Netherlands 	        10,806,000 	 2004
25 	 Poland 	        10,600,000 	 2005
26 	 Pakistan 	        10,500,000 	 2005
27 	 Argentina 	        10,000,000 	 2005
28 	 Thailand 	         8,420,000 	 2005
29 	 Philippines 	         7,820,000 	 2005
30 	 Portugal 	         7,783,000 	 2006
31 	 Iran 	         7,500,000 	 2005
32 	 Sweden 	         6,800,000 	 2005
33 	 Chile 	         6,700,000 	 2005
34 	 Ukraine 	         5,278,000 	 2005
35 	 Belgium 	         5,100,000 	 2005
36 	 South Africa 	         5,100,000 	 2005
37 	 Czech Republic 	         5,100,000 	 2005
38 	 Switzerland 	         5,098,000 	 2005
39 	 Egypt 	         5,000,000 	 2005
40 	 Nigeria 	         5,000,000 	 2005
41 	 Romania 	         4,940,000 	 2005
42 	 Hong Kong 	         4,879,000 	 2005
43 	 Colombia 	         4,739,000 	 2005
44 	 Austria 	         4,650,000 	 2005
45 	 Morocco 	         4,600,000 	 2005
46 	 Peru 	         4,600,000 	 2005
47 	 Greece 	         3,800,000 	 2005
48 	 Denmark 	         3,763,000 	 2005
49 	 Israel 	         3,700,000 	 2006
50 	 Belarus 	         3,394,000 	 2005
51 	 Finland 	         3,286,000 	 2005
52 	 New Zealand 	         3,200,000 	 2005
53 	 Saudi Arabia 	         3,200,000 	 2006
54 	 Norway 	         3,140,000 	 2005
55 	 Hungary 	         3,050,000 	 2005
56 	 Venezuela 	         3,040,000 	 2005
57 	 Sudan 	         2,800,000 	 2005
58 	 Slovakia 	         2,500,000 	 2005
59 	 Singapore 	         2,422,000 	 2005
60 	 Bulgaria 	         2,200,000 	 2005
61 	 Ireland 	         2,060,000 	 2005
62 	 Algeria 	         1,920,000 	 2005
63 	 Croatia 	         1,451,000 	 2005
64 	 Serbia 	         1,400,000 	 2006
65 	 United Arab Emirates 	         1,397,000 	 2005
66 	 Lithuania 	         1,222,000 	 2005
67 	 Syria 	         1,100,000 	 2005
68 	 Slovenia 	         1,090,000 	 2005
69 	 Jamaica 	         1,067,000 	 2005
70 	 Kenya 	         1,055,000 	 2005
71 	 Latvia 	         1,030,000 	 2005
72 	 Costa Rica 	         1,000,000 	 2005
73 	 Zimbabwe 	         1,000,000 	 2005
74 	 Puerto Rico 	         1,000,000 	 2005
75 	 Tunisia 	          953,800 	 2005
