Rank 	 Country 	 Internet hosts 	 Date of Information
1 	 United States 	       195,139,000 	 2005
2 	 European Union 	        50,500,000 	 
3 	 Japan 	        28,322,000 	 2006
4 	 Germany 	        11,859,000 	 2006
5 	 Netherlands 	         8,363,000 	 2006
6 	 Australia 	         7,773,000 	 2006
7 	 Brazil 	         6,508,000 	 2006
8 	 United Kingdom 	         6,065,000 	 2006
9 	 Korea, South 	         5,434,000 	 2005
10 	 Taiwan 	         4,320,000 	 2006
11 	 Canada 	         3,934,000 	 2006
12 	 Mexico 	         3,427,000 	 2006
13 	 France 	         3,149,000 	 2006
14 	 France 	         3,148,000 	 2006
15 	 Sweden 	         2,958,000 	 2006
16 	 Belgium 	         2,871,000 	 2006
17 	 Spain 	         2,521,000 	 2006
18 	 Switzerland 	         2,443,000 	 2006
19 	 Denmark 	         2,416,000 	 2006
20 	 Austria 	         2,062,000 	 2006
21 	 Russia 	         1,980,000 	 2006
22 	 Italy 	         1,731,000 	 2006
23 	 Finland 	         1,634,000 	 2006
24 	 Argentina 	         1,612,000 	 2006
25 	 India 	         1,543,000 	 2006
26 	 Norway 	         1,364,000 	 2006
27 	 Turkey 	         1,313,000 	 2006
28 	 Czech Republic 	         1,267,000 	 2006
29 	 Israel 	         1,252,000 	 2006
30 	 New Zealand 	         1,050,000 	 2006
31 	 Thailand 	          938,784 	 2006
32 	 Singapore 	          898,762 	 2006
33 	 Portugal 	          845,980 	 2005
34 	 Hong Kong 	          800,834 	 2006
35 	 South Africa 	          645,179 	 2006
36 	 Hungary 	          608,085 	 2006
37 	 Greece 	          587,717 	 2006
38 	 Colombia 	          581,877 	 2006
39 	 Chile 	          506,055 	 2006
40 	 Poland 	          358,476 	 2006
41 	 United Arab Emirates 	          337,092 	 2006
42 	 Peru 	          269,981 	 2006
43 	 Ireland 	          238,191 	 2006
44 	 China 	          232,780 	 2006
45 	 Ukraine 	          229,110 	 2006
46 	 Iceland 	          212,897 	 2006
47 	 Slovakia 	          210,758 	 2006
48 	 Bulgaria 	          184,975 	 2006
49 	 Indonesia 	          170,834 	 2006
50 	 Malaysia 	          158,650 	 2006
51 	 Lithuania 	          148,675 	 2006
52 	 Uruguay 	          145,774 	 2006
53 	 Philippines 	          111,262 	 2006
54 	 Dominican Republic 	           91,895 	 2006
55 	 Luxembourg 	           88,661 	 2006
56 	 Pakistan 	           72,765 	 2006
57 	 Cyprus 	           67,589 	 2006
58 	 Latvia 	           65,858 	 2006
59 	 Slovenia 	           61,735 	 2006
60 	 Moldova 	           58,886 	 2006
61 	 Romania 	           57,470 	 2006
62 	 Estonia 	           52,241 	 2006
63 	 Venezuela 	           51,968 	 2006
64 	 Guatemala 	           49,026 	 2006
65 	 Belarus 	           33,641 	 2006
66 	 Bosnia and Herzegovina 	           31,490 	 2006
67 	 Trinidad and Tobago 	           30,732 	 2006
68 	 Nicaragua 	           24,452 	 2006
69 	 Kazakhstan 	           21,187 	 2006
70 	 Bolivia 	           20,085 	 2006
71 	 Netherlands Antilles 	           19,204 	 2006
72 	 Ecuador 	           19,027 	 2006
73 	 Kyrgyzstan 	           18,928 	 2006
74 	 Croatia 	           18,825 	 2006
75 	 Tonga 	           18,775 	 2006
76 	 Nepal 	           17,789 	 2006
