Country|Population|Electricity Production (kWh)|Electricity Consumption (kWh)|Telephones Main Lines|Telephones Mobile Cellular|Internet Hosts|Internet Users
World|6,602,224,175|17,400,000,000,000|16,330,000,000,000|1,263,367,600|2,168,433,600||1,018,057,389
China|1,321,851,888|2,500,000,000,000|2,494,000,000,000|350,433,000|437,480,000|232,780|123,000,000
India|1,129,866,154|630,600,000,000|587,900,000,000|49,750,000|69,193,000|1,543,000|60,000,000
European Union|460,827,146|2,997,000,000,000|2,822,000,000,000|238,000,000|466,000,000|50,500,000|247,000,000
United States|301,139,947|3,979,000,000,000|3,717,000,000,000|268,000,000|219,400,000|195,139,000|205,327,000
Indonesia|234,693,997|123,400,000,000|107,700,000,000|12,772,000|46,910,000|170,834|16,000,000
Brazil|190,010,647|546,000,000,000|415,900,000,000|42,382,000|86,210,000|6,508,000|25,900,000
Pakistan|164,741,924|80,240,000,000|74,620,000,000|5,162,798|48,289,136|72,765|10,500,000
Bangladesh|150,448,339|18,090,000,000|16,820,000,000|1,070,000|9,000,000|469|300,000
Russia|141,377,752|952,400,000,000|940,000,000,000|40,100,000|120,000,000|1,980,000|23,700,000
Nigeria|135,031,164|19,060,000,000|17,710,000,000|1,223,000|21,571,000|1,549|5,000,000
Japan|127,433,494|996,000,000,000|946,300,000,000|58,780,000|94,745,000|28,322,000|86,300,000
Mexico|108,700,891|242,400,000,000|224,600,000,000|19,512,000|47,462,000|3,427,000|18,622,000
Philippines|91,077,287|56,570,000,000|49,750,000,000|3,438,000|32,810,000|111,262|7,820,000
Vietnam|85,262,356|40,110,000,000|37,300,000,000|15,845,000|9,593,000|12,114|13,100,000
Germany|82,400,996|566,900,000,000|524,600,000,000|55,046,000|79,200,000|11,859,000|50,616,000
Egypt|80,335,036|91,720,000,000|84,490,000,000|10,396,000|14,045,000|2,254|5,000,000
Ethiopia|76,511,887|2,294,000,000|2,133,000,000|610,300|410,600|88|113,000
Turkey|71,158,647|143,300,000,000|140,300,000,000|18,978,000|43,609,000|1,313,000|16,000,000
Congo, Democratic Republic of the|65,751,512|353,000,000|658,300,000|10,600|2,746,000|1,778|140,600
Iran|65,397,521|155,700,000,000|145,100,000,000|18,986,000|8,500,000|5,242|7,500,000
Thailand|65,068,149|121,700,000,000|116,200,000,000|7,035,000|27,379,000|938,784|8,420,000
France|63,713,926|549,400,000,000|482,400,000,000|35,700,000|48,058,000|3,148,000|29,521,000
United Kingdom|60,776,238|363,200,000,000|345,200,000,000|32,943,000|61,091,000|6,065,000|37,600,000
Italy|58,147,733|277,600,000,000|303,800,000,000|25,049,000|72,200,000|1,731,000|28,870,000
Korea, South|49,044,790|345,200,000,000|321,000,000,000|23,745,000|38,342,000|5,434,000|33,900,000
Burma|47,373,958|6,020,000,000|5,325,000,000|476,200|183,400|42|78,000
Ukraine|46,299,862|192,100,000,000|181,900,000,000|12,142,000|17,214,000|229,110|5,278,000
Colombia|44,379,598|46,930,000,000|42,010,000,000|7,678,800|21,850,000|581,877|4,739,000
South Africa|43,997,828|227,200,000,000|207,000,000,000|4,729,000|33,960,000|645,179|5,100,000
Spain|40,448,191|263,300,000,000|241,800,000,000|18,322,000|41,328,000|2,521,000|19,205,000
Argentina|40,301,927|93,940,000,000|90,930,000,000|8,800,000|22,100,000|1,612,000|10,000,000
Tanzania|39,384,223|2,562,000,000|2,383,000,000|148,400|1,942,000|8,609|333,000
Sudan|39,379,358|3,845,000,000|3,576,000,000|670,000|1,828,000|16|2,800,000
Poland|38,518,241|143,500,000,000|124,100,000,000|11,803,000|29,166,000|358,476|10,600,000
Kenya|36,913,721|5,709,000,000|5,459,000,000|281,800|6,500,000|13,274|1,055,000
Morocco|33,757,175|18,480,000,000|18,890,000,000|1,341,000|12,393,000|3,218|4,600,000
Canada|33,390,141|573,000,000,000|522,400,000,000|18,276,000|16,600,000|3,934,000|21,900,000
Algeria|33,333,216|29,390,000,000|27,400,000,000|2,572,000|13,661,000|1,202|1,920,000
Afghanistan|31,889,923|734,300,000|782,900,000|280,000|1,400,000|22|30,000
Uganda|30,262,610|1,894,000,000|1,596,000,000|100,800|1,525,000|1,365|500,000
Nepal|28,901,790|2,511,000,000|1,960,000,000|448,600|248,800|17,789|175,000
Peru|28,674,757|23,990,000,000|22,310,000,000|2,250,000|5,583,000|269,981|4,600,000
Uzbekistan|27,780,059|49,000,000,000|47,000,000,000|1,717,000|1,100,000|9,058|880,000
Saudi Arabia|27,601,038|155,200,000,000|144,400,000,000|4,500,000|13,300,000|10,931|3,200,000
Iraq|27,499,638|34,600,000,000|33,300,000,000|1,547,000|8,700,000|5|36,000
Venezuela|26,023,528|93,030,000,000|86,520,000,000|3,605,000|12,496,000|51,968|3,040,000
Malaysia|24,821,286|78,240,000,000|72,710,000,000|4,366,000|19,545,000|158,650|11,016,000
Korea, North|23,301,725|21,710,000,000|20,190,000,000|980,000|||
Ghana|22,931,299|6,489,000,000|7,095,000,000|321,500|2,842,000|380|401,300
Taiwan|22,858,872|189,700,000,000|175,300,000,000|13,615,000|22,170,000|4,320,000|13,210,000
Romania|22,276,056|54,530,000,000|49,620,000,000|4,391,000|13,354,000|57,470|4,940,000
Yemen|22,230,531|4,077,000,000|3,792,000,000|900,000|2,075,000|171|220,000
Sri Lanka|20,926,315|8,766,000,000|8,170,000,000|1,510,000|4,284,000|6,526|280,000
Mozambique|20,905,585|11,580,000,000|9,592,000,000|69,700|1,220,000|6,985|138,000
Australia|20,434,176|225,300,000,000|209,500,000,000|11,460,000|18,420,000|7,773,000|14,664,000
Madagascar|19,448,815|984,000,000|915,100,000|66,900|504,700|1,504|90,000
Syria|19,314,747|34,940,000,000|34,000,000,000|2,903,000|3,128,000|66|1,100,000
Cameroon|18,060,382|3,924,000,000|3,649,000,000|99,400|2,259,000|39|167,000
Cote d'Ivoire|18,013,409|4,625,000,000|3,202,000,000|257,900|2,190,000|2,534|160,000
Netherlands|16,570,613|92,700,000,000|102,400,000,000|7,600,000|15,834,000|8,363,000|10,806,000
Chile|16,284,741|47,600,000,000|48,520,000,000|3,436,000|10,570,000|506,055|6,700,000
Kazakhstan|15,284,929|66,500,000,000|59,200,000,000|2,500,000|4,955,000|21,187|400,000
Burkina Faso|14,326,203|400,000,000|372,000,000|97,400|572,200|399|64,600
Cambodia|13,995,904|131,000,000|121,800,000|36,400|1,062,000|1,378|41,000
Ecuador|13,755,680|12,200,000,000|12,950,000,000|1,701,000|6,246,000|19,027|616,000
Malawi|13,603,181|1,293,000,000|1,202,000,000|102,700|429,300|377|52,500
Niger|12,894,865|232,000,000|415,800,000|24,000|299,900|189|24,000
Guatemala|12,728,111|7,200,000,000|6,625,000,000|1,132,000|3,168,000|49,026|756,000
Senegal|12,521,851|1,453,000,000|1,351,000,000|266,600|1,730,000|412|540,000
Zimbabwe|12,311,143|9,412,000,000|11,000,000,000|328,000|699,000|7,954|1,000,000
Angola|12,263,596|2,194,000,000|2,040,000,000|94,300|1,094,000|2,525|172,000
Mali|11,995,402|410,000,000|381,300,000|75,000|869,600|278|60,000
Zambia|11,477,447|9,962,000,000|6,692,000,000|94,700|946,600|3,227|231,000
Cuba|11,394,043|15,340,000,000|14,100,000,000|849,900|134,500|2,234|190,000
Greece|10,706,290|55,510,000,000|53,500,000,000|6,303,000|10,043,000|587,717|3,800,000
Portugal|10,642,836|42,520,000,000|46,050,000,000|4,234,000|11,448,000|845,980|7,783,000
Belgium|10,392,226|80,220,000,000|82,410,000,000|4,801,000|9,460,000|2,871,000|5,100,000
Tunisia|10,276,158|11,810,000,000|10,970,000,000|1,258,000|5,681,000|428|953,800
Czech Republic|10,228,744|79,140,000,000|58,800,000,000|3,217,300|11,776,000|1,267,000|5,100,000
Serbia|10,150,265|33,870,000,000||2,685,000|5,229,000||1,400,000
Hungary|9,956,108|31,830,000,000|37,100,000,000|3,356,000|9,320,000|608,085|3,050,000
Guinea|9,947,814|840,000,000|832,900,000|26,200|189,000|367|46,000
